Date,Instrument,Song/Piece,Artist,Genre
10/17/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
10/17/20,Electric Guitar,Killing in the Name,Rage Against the Machine,Rock
10/17/20,Electric Guitar,Thank You for the Venom,My Chemical Romance,Rock
10/17/20,Electric Guitar,The Ghost of You,My Chemical Romance,Rock
10/17/20,Electric Guitar,Crazy Train,Ozzy Osbourne,Rock
10/17/20,Electric Guitar,crushcrushcrush,Paramore,Rock
10/17/20,Electric Guitar,Emergency,Paramore,Rock
10/17/20,Bass,Eye of the Tiger,Survivor,Rock
10/17/20,Bass,Rasputin,Boney M,Pop
10/18/20,Electric Guitar,Rasputin,Boney M,Pop
10/18/20,Electric Guitar,Crazy Train,Ozzy Osbourne,Rock
10/18/20,Acoustic Guitar,Riptide,Vance Joy,Folk
10/18/20,Acoustic Guitar,Bloom,The Paper Kites,Folk
10/19/20,Piano,Waltz in C# Minor,Chopin,Classical
10/19/20,Piano,Raindrop Prelude,Chopin,Classical
10/19/20,Bass,December 1963,Frankie Valli and the Four Seasons,Pop
10/19/20,Bass,Crazy Little Thing Called Love,Queen,Rock
10/19/20,Electric Guitar,Let's Get Rocked,Def Leppard,Metal
10/19/20,Electric Guitar,OG Stuff,Me,My Composition
10/20/20,Piano,Waltz in C# Minor,Chopin,Classical
10/20/20,Piano,Moonlight Sonata,Beethoven,Classical
10/20/20,Piano,OG Stuff,Me,My Composition
10/21/20,Bass,December 1963,Frankie Valli and the Four Seasons,Pop
10/21/20,Bass,Crazy Little Thing Called Love,Queen,Rock
10/21/20,Electric Guitar,Personal Jesus,Depeche Mode,Rock
10/21/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
10/21/20,Electric Guitar,Separate Ways (Worlds Apart),Journey,Rock
10/21/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
10/21/20,Electric Guitar,Layla,Derek and the Dominos,Rock
10/22/20,Piano,Moonlight Sonata,Beethoven,Classical
10/23/20,Piano,Moonlight Sonata,Beethoven,Classical
10/23/20,Banjo,26,Caamp,Folk
10/23/20,Banjo,Agape,Bears Den,Folk
10/24/20,Banjo,26,Caamp,Folk
10/24/20,Banjo,OG Stuff,Me,My Composition
10/24/20,Piano,OG Stuff,Me,My Composition
10/24/20,Piano,Moonlight Sonata,Beethoven,Classical
10/24/20,Electric Guitar,Layla,Derek and the Dominos,Rock
10/24/20,Electric Guitar,Separate Ways (Worlds Apart),Journey,Rock
10/24/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
10/24/20,Electric Guitar,Hungry Like the Wolf,Duran Duran,Rock
10/25/20,Piano,OG Stuff,Me,My Composition
10/25/20,Piano,Moonlight Sonata,Beethoven,Classical
10/26/20,Electric Guitar,Stone in Love,Journey,Rock
10/26/20,Electric Guitar,Seven Nation Army,White Stripes,Rock
10/26/20,Electric Guitar,Killing in the Name,Rage Against the Machine,Rock
10/26/20,Banjo,For the Widows in Paradise,Sufjan Stevens,Folk
10/26/20,Banjo,Take Us Back,Alela Diane,Folk
10/26/20,Piano,Sonata 18,Beethoven,Classical
10/26/20,Piano,Moonlight Sonata,Beethoven,Classical
10/26/20,Piano,OG Stuff,Me,My Composition
10/27/20,Piano,Moonlight Sonata,Beethoven,Classical
10/28/20,Piano,Moonlight Sonata,Beethoven,Classical
10/28/20,Electric Guitar,Thunderstruck,AC/DC,Metal
10/28/20,Electric Guitar,Crazy Train,Ozzy Osbourne,Rock
10/28/20,Banjo,For the Widows in Paradise,Sufjan Stevens,Folk
10/28/20,Banjo,Take Us Back,Alela Diane,Folk
10/28/20,Banjo,Agape,Bears Den,Folk
10/28/20,Banjo,Thunderstruck,AC/DC,Metal
10/29/20,Piano,Moonlight Sonata,Beethoven,Classical
10/29/20,Piano,OG Stuff,Me,My Composition
10/30/20,Piano,Moonlight Sonata,Beethoven,Classical
10/30/20,Piano,OG Stuff,Me,My Composition
10/31/20,Piano,Moonlight Sonata,Beethoven,Classical
10/31/20,Piano,OG Stuff,Me,My Composition
11/1/20,Piano,OG Stuff,Me,My Composition
11/1/20,Bass,Sir Duke,Stevie Wonder,R&B
11/1/20,Bass,A-punk,Vampire Weekend,Indie
11/2/20,Piano,OG Stuff,Me,My Composition
11/2/20,Piano,Moonlight Sonata,Beethoven,Classical
11/3/20,Piano,OG Stuff,Me,My Composition
11/4/20,Electric Guitar,Thunderstruck,AC/DC,Metal
11/4/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
11/4/20,Electric Guitar,Crazy Train,Ozzy Osbourne,Rock
11/4/20,Piano,OG Stuff,Me,My Composition
11/5/20,Piano,OG Stuff,Me,My Composition
11/6/20,Piano,OG Stuff,Me,My Composition
11/6/20,Banjo,I'm Not Angry Anymore,Paramore,Rock
11/6/20,Banjo,26,Caamp,Folk
11/6/20,Banjo,Agape,Bears Den,Folk
11/7/20,Piano,OG Stuff,Me,My Composition
11/8/20,Piano,OG Stuff,Me,My Composition
11/8/20,Piano,Tempest Sonata,Beethoven,Classical
11/9/20,Piano,OG Stuff,Me,My Composition
11/9/20,Piano,Tempest Sonata,Beethoven,Classical
11/9/20,Piano,Viva la Vida,Coldplay,Pop
11/10/20,Piano,OG Stuff,Me,My Composition
11/10/20,Piano,Viva la Vida,Coldplay,Pop
11/11/20,Piano,OG Stuff,Me,My Composition
11/11/20,Bass,Last Train to London,Electric Light Orchestra,Rock
11/11/20,Bass,Sir Duke,Stevie Wonder,R&B
11/12/20,Banjo,Take Me Home Country Roads,John Denver,Country
11/12/20,Ukulele,I'm Yours,Jason Mraz,Pop
11/13/20,Piano,OG Stuff,Me,My Composition
11/14/20,Piano,OG Stuff,Me,My Composition
11/15/20,Piano,OG Stuff,Me,My Composition
11/15/20,Electric Guitar,OG Stuff,Me,My Composition
11/16/20,Electric Guitar,More Than a Feeling,Boston,Rock
11/16/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
11/16/20,Electric Guitar,Killing in the Name,Rage Against the Machine,Rock
11/16/20,Electric Guitar,Supermassive Black Hole,Muse,Rock
11/16/20,Piano,OG Stuff,Me,My Composition
11/17/20,Piano,OG Stuff,Me,My Composition
11/18/20,Piano,OG Stuff,Me,My Composition
11/19/20,Piano,OG Stuff,Me,My Composition
11/20/20,Banjo,26,Caamp,Folk
11/20/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
11/20/20,Electric Guitar,Whip It,DEVO,Rock
11/21/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
11/21/20,Electric Guitar,Whip It,DEVO,Rock
11/22/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
11/22/20,Banjo,Do You Believe in Magic,The Lovin Spoonful,Pop
11/23/20,Electric Guitar,Supermassive Black Hole,Muse,Rock
11/23/20,Electric Guitar,My Own Worst Enemy,Lit,Rock
11/23/20,Electric Guitar,OG Stuff,Me,My Composition
11/24/20,Electric Guitar,My Own Worst Enemy,Lit,Rock
11/24/20,Electric Guitar,OG Stuff,Me,My Composition
11/25/20,Electric Guitar,My Own Worst Enemy,Lit,Rock
11/25/20,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
11/25/20,Piano,OG Stuff,Me,My Composition
11/26/20,Electric Guitar,Enter Sandman,Metallica,Metal
11/26/20,Electric Guitar,Ottoman,Vampire Weekend,Indie
11/26/20,Electric Guitar,Carry On Wayward Son,Kansas,Rock
11/26/20,Electric Guitar,OG Stuff,Me,My Composition
11/26/20,Banjo,Unwell,Matchbox Twenty,Rock
11/27/20,Electric Guitar,Ottoman,Vampire Weekend,Indie
11/27/20,Electric Guitar,Layla,Derek and the Dominos,Rock
11/28/20,Electric Guitar,Crazy Train,Ozzy Osbourne,Rock
11/28/20,Electric Guitar,OG Stuff,Me,My Composition
11/28/20,Acoustic Guitar,Waterloo,ABBA,Pop
11/29/20,Electric Guitar,OG Stuff,Me,My Composition
11/29/20,Electric Guitar,Thunderstruck,AC/DC,Metal
11/29/20,Acoustic Guitar,Waterloo,ABBA,Pop
11/29/20,Piano,Moonlight Sonata,Beethoven,Classical
11/30/20,Piano,OG Stuff,Me,My Composition
12/1/20,Piano,OG Stuff,Me,My Composition
12/2/20,Piano,OG Stuff,Me,My Composition
12/3/20,Piano,OG Stuff,Me,My Composition
12/3/20,Piano,Sonata 18,Beethoven,Classical
12/3/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
12/3/20,Electric Guitar,Feel Good Drag,Anberlin,Rock
12/3/20,Acoustic Guitar,Waterloo,ABBA,Pop
12/4/20,Piano,Sonata 18,Beethoven,Classical
12/4/20,Piano,OG Stuff,Me,My Composition
12/5/20,Piano,OG Stuff,Me,My Composition
12/6/20,Piano,OG Stuff,Me,My Composition
12/6/20,Electric Guitar,OG Stuff,Me,My Composition
12/6/20,Electric Guitar,Layla,Derek and the Dominos,Rock
12/6/20,Electric Guitar,Killing in the Name,Rage Against the Machine,Rock
12/6/20,Electric Guitar,Separate Ways (Worlds Apart),Journey,Rock
12/6/20,Electric Guitar,Riot,Three Days Grace,Rock
12/6/20,Acoustic Guitar,Waterloo,ABBA,Pop
12/7/20,Piano,Sonata 18,Beethoven,Classical
12/7/20,Piano,OG Stuff,Me,My Composition
12/7/20,Acoustic Guitar,Paradise,City and Colour,Indie
12/7/20,Acoustic Guitar,Waterloo,ABBA,Pop
12/7/20,Electric Guitar,Carry On Wayward Son,Kansas,Rock
12/8/20,Piano,Sonata 18,Beethoven,Classical
12/8/20,Piano,OG Stuff,Me,My Composition
12/8/20,Bass,December 1963,Frankie Valli and the Four Seasons,Pop
12/8/20,Bass,Hysteria,Muse,Rock
12/8/20,Bass,Fluorescent Adolescent,Arctic Monkeys,Indie
12/9/20,Piano,OG Stuff,Me,My Composition
12/9/20,Piano,Piano Sonata no. 3,Mozart,Classical
12/10/20,Electric Guitar,Rock You Like a Hurricane,Scorpions,Rock
12/10/20,Electric Guitar,The Final Countdown,Europe,Rock
12/11/20,Piano,OG Stuff,Me,My Composition
12/11/20,Piano,Piano Sonata no. 3,Mozart,Classical
12/12/20,Bass,Last Train to London,Electric Light Orchestra,Rock
12/12/20,Bass,Fluorescent Adolescent,Arctic Monkeys,Indie
12/12/20,Electric Guitar,Rock You Like a Hurricane,Scorpions,Rock
12/12/20,Electric Guitar,The Final Countdown,Europe,Rock
12/12/20,Electric Guitar,December 1963,Frankie Valli and the Four Seasons,Pop
12/13/20,Electric Guitar,December 1963,Frankie Valli and the Four Seasons,Pop
12/13/20,Electric Guitar,Talk Too Much,COIN,Indie
12/13/20,Acoustic Guitar,Waterloo,ABBA,Pop
12/13/20,Piano,OG Stuff,Me,My Composition
12/14/20,Banjo,26,Caamp,Folk
12/14/20,Banjo,Agape,Bears Den,Folk
12/14/20,Banjo,OG Stuff,Me,My Composition
12/14/20,Acoustic Guitar,Waterloo,ABBA,Pop
12/14/20,Piano,The Entertainer,Scott Joplin,Ragtime
12/14/20,Piano,OG Stuff,Me,My Composition
12/15/20,Piano,The Entertainer,Scott Joplin,Ragtime
12/15/20,Piano,OG Stuff,Me,My Composition
12/15/20,Electric Guitar,The Final Countdown,Europe,Rock
12/15/20,Electric Guitar,Hold the Line,TOTO,Rock
12/16/20,Electric Guitar,Enter Sandman,Metallica,Metal
12/16/20,Electric Guitar,Under the Milky Way,The Church,Rock
12/16/20,Electric Guitar,Do I Wanna Know,Arctic Monkeys,Indie
12/17/20,Piano,The Entertainer,Scott Joplin,Ragtime
12/18/20,Electric Guitar,The Final Countdown,Europe,Rock
12/18/20,Electric Guitar,OG Stuff,Me,My Composition
12/18/20,Piano,The Entertainer,Scott Joplin,Ragtime
12/19/20,Electric Guitar,Kryptonite,Three Doors Down,Rock
12/19/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
12/19/20,Bass,The Less I Know the Better,Tame Impala,Indie
12/19/20,Bass,Silly Love Songs,Wings,Pop
12/19/20,Bass,Sir Duke,Stevie Wonder,R&B
12/20/20,Ukulele,OG Stuff,Me,My Composition
12/20/20,Piano,The Entertainer,Scott Joplin,Ragtime
12/20/20,Piano,OG Stuff,Me,My Composition
12/21/20,Piano,Gnossienne 1,Satie,Classical
12/21/20,Piano,OG Stuff,Me,My Composition
12/22/20,Piano,OG Stuff,Me,My Composition
12/22/20,Electric Guitar,December 1963,Frankie Valli and the Four Seasons,Pop
12/22/20,Electric Guitar,OG Stuff,Me,My Composition
12/22/20,Acoustic Guitar,Waterloo,ABBA,Pop
12/22/20,Banjo,26,Caamp,Folk
12/22/20,Banjo,Unwell,Matchbox Twenty,Rock
12/22/20,Banjo,OG Stuff,Me,My Composition
12/23/20,Piano,Sonatina - Opus 36 No 3,Clementi,Classical
12/23/20,Piano,Nocturne in F# minor,Rachmaninov,Classical
12/23/20,Piano,OG Stuff,Me,My Composition
12/24/20,Piano,Nocturne in F# minor,Rachmaninov,Classical
12/24/20,Piano,OG Stuff,Me,My Composition
12/24/20,Piano,The Entertainer,Scott Joplin,Ragtime
12/24/20,Electric Guitar,Any Way You Want It,Journey,Rock
12/24/20,Electric Guitar,Rock Show,blink-182,Rock
12/24/20,Electric Guitar,Slow Death,We are Scientists,Rock
12/24/20,Bass,December 1963,Frankie Valli and the Four Seasons,Pop
12/24/20,Bass,Come As You Are,Nirvana,Rock
12/24/20,Bass,Californication,Red Hot Chili Peppers,Rock
12/25/20,Piano,Nocturne in F# minor,Rachmaninov,Classical
12/25/20,Piano,The Entertainer,Scott Joplin,Ragtime
12/25/20,Electric Guitar,Californication,Red Hot Chili Peppers,Rock
12/25/20,Electric Guitar,Thunderstruck,AC/DC,Metal
12/25/20,Bass,Do I Wanna Know,Arctic Monkeys,Indie
12/25/20,Bass,Scar Tissue,Red Hot Chili Peppers,Rock
12/26/20,Piano,Nocturne in F# minor,Rachmaninov,Classical
12/26/20,Piano,Sonata 18,Beethoven,Classical
12/26/20,Piano,First Arabesque,Debussy,Classical
12/27/20,Piano,First Arabesque,Debussy,Classical
12/27/20,Electric Guitar,Scar Tissue,Red Hot Chili Peppers,Rock
12/27/20,Electric Guitar,Easy Lover,Phillip Bailey,Pop
12/28/20,Piano,Nocturne in F# minor,Rachmaninov,Classical
12/28/20,Piano,First Arabesque,Debussy,Classical
12/29/20,Piano,Nocturne in F# minor,Rachmaninov,Classical
12/29/20,Piano,First Arabesque,Debussy,Classical
12/30/20,Piano,Nocturne in F# minor,Rachmaninov,Classical
12/30/20,Piano,First Arabesque,Debussy,Classical
12/30/20,Piano,OG Stuff,Me,My Composition
12/31/20,Piano,Nocturne in F# minor,Rachmaninov,Classical
12/31/20,Piano,Sonata 18,Beethoven,Classical
12/31/20,Electric Guitar,Easy Lover,Phillip Bailey,Pop
12/31/20,Electric Guitar,Carry On Wayward Son,Kansas,Rock
12/31/20,Electric Guitar,Misery Business,Paramore,Rock
1/1/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/1/21,Piano,First Arabesque,Debussy,Classical
1/1/21,Piano,Sonata 18,Beethoven,Classical
1/1/21,Electric Guitar,OG Stuff,Me,My Composition
1/1/21,Electric Guitar,Ain't Talkin Bout Love,Van Halen,Rock
1/2/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/2/21,Piano,Sonata 18,Beethoven,Classical
1/3/21,Piano,Moonlight Sonata,Beethoven,Classical
1/3/21,Piano,First Arabesque,Debussy,Classical
1/3/21,Piano,OG Stuff,Me,My Composition
1/3/21,Electric Guitar,Easy Lover,Phillip Bailey,Pop
1/3/21,Acoustic Guitar,Waterloo,ABBA,Pop
1/3/21,Acoustic Guitar,Paradise,City and Colour,Indie
1/4/21,Piano,Moonlight Sonata,Beethoven,Classical
1/4/21,Piano,OG Stuff,Me,My Composition
1/4/21,Electric Guitar,Easy Lover,Phillip Bailey,Pop
1/5/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/5/21,Piano,First Arabesque,Debussy,Classical
1/5/21,Piano,OG Stuff,Me,My Composition
1/6/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/6/21,Piano,OG Stuff,Me,My Composition
1/7/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/7/21,Piano,OG Stuff,Me,My Composition
1/8/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/8/21,Piano,OG Stuff,Me,My Composition
1/9/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/10/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/10/21,Piano,Sonata 16 in C Major,Mozart,Classical
1/10/21,Electric Guitar,Hit Me With Your Best Shot,Pat Benatar,Rock
1/10/21,Electric Guitar,Easy Lover,Phillip Bailey,Pop
1/10/21,Electric Guitar,Immigrant Song,Led Zeppelin,Rock
1/10/21,Electric Guitar,Personal Jesus,Depeche Mode,Rock
1/11/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/11/21,Piano,OG Stuff,Me,My Composition
1/12/21,Piano,Nocturne in F# minor,Rachmaninov,Classical
1/12/21,Piano,OG Stuff,Me,My Composition
