Date,Instrument,Song/Piece,Artist,Genre
6/9/20,Piano,Waterfall Etude,Chopin,Classical
6/9/20,Electric Guitar,Gotta Get Away,The Black Keys,Indie
6/9/20,Electric Guitar,These Days,Nico,Rock
6/9/20,Electric Guitar,Voulez-Vous,ABBA,Pop
6/10/20,Piano,Waterfall Etude,Chopin,Classical
6/10/20,Electric Guitar,Telescope,Yellowcard,Rock
6/10/20,Electric Guitar,Animal I Have Become,Three Days Grace,Rock
6/10/20,Electric Guitar,Riot,Three Days Grace,Rock
6/11/20,Piano,Waterfall Etude,Chopin,Classical
6/11/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
6/12/20,Piano,Waterfall Etude,Chopin,Classical
6/12/20,Piano,Moonlight Sonata,Beethoven,Classical
6/12/20,Piano,Invention 4,Bach,Classical
6/12/20,Bass,If I Ever Feel Better,Phoenix,Indie
6/13/20,Piano,Invention 4,Bach,Classical
6/13/20,Piano,Waltz in C# Minor,Chopin,Classical
6/13/20,Electric Guitar,Pens and Needles,Hawthorne Heights,Rock
6/14/20,Piano,Invention 4,Bach,Classical
6/14/20,Bass,Imagination,Foster the People,Indie
6/15/20,Piano,Invention 4,Bach,Classical
6/15/20,Electric Guitar,Imagination,Foster the People,Indie
6/15/20,Electric Guitar,You Give Love a Bad Name,Bon Jovi,Rock
6/15/20,Electric Guitar,The Most Beautiful Girl in the Room,Flight of the Concords,Pop
6/15/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
6/16/20,Piano,Waterfall Etude,Chopin,Classical
6/17/20,Piano,Waltz in C# Minor,Chopin,Classical
6/17/20,Electric Guitar,Pens and Needles,Hawthorne Heights,Rock
6/17/20,Electric Guitar,Saltwater Room,Owl City,Pop
6/18/20,Piano,Waterfall Etude,Chopin,Classical
6/18/20,Piano,Moonlight Sonata,Beethoven,Classical
6/19/20,Piano,Waterfall Etude,Chopin,Classical
6/19/20,Piano,Invention 4,Bach,Classical
6/20/20,Piano,Waterfall Etude,Chopin,Classical
6/20/20,Acoustic Guitar,A Closeness,Dermot Kennedy,Folk
6/20/20,Acoustic Guitar,Never Mind,Foster the People,Indie
6/21/20,Piano,Waterfall Etude,Chopin,Classical
6/21/20,Electric Guitar,Saltwater Room,Owl City,Pop
6/21/20,Electric Guitar,Supermassive Black Hole,Muse,Rock
6/22/20,Piano,Waterfall Etude,Chopin,Classical
6/23/20,Piano,Waterfall Etude,Chopin,Classical
6/24/20,Acoustic Guitar,A Closeness,Dermot Kennedy,Folk
6/24/20,Acoustic Guitar,Never Mind,Foster the People,Indie
6/24/20,Acoustic Guitar,The Most Beautiful Girl in the Room,Flight of the Concords,Pop
6/25/20,Piano,Waterfall Etude,Chopin,Classical
6/26/20,Piano,Waterfall Etude,Chopin,Classical
6/27/20,Acoustic Guitar,Pretty Girl at the Airport,The Avett Brothers,Folk
6/27/20,Acoustic Guitar,Wait for Me,Motopony,Folk
6/28/20,Piano,Waterfall Etude,Chopin,Classical
6/28/20,Acoustic Guitar,Pretty Girl at the Airport,The Avett Brothers,Folk
6/28/20,Acoustic Guitar,Wait for Me,Motopony,Folk
6/29/20,Piano,Waterfall Etude,Chopin,Classical
6/29/20,Piano,Waltz in C# Minor,Chopin,Classical
6/29/20,Acoustic Guitar,Pretty Girl at the Airport,The Avett Brothers,Folk
6/29/20,Acoustic Guitar,Dragonfly,M. Craft,Folk
6/29/20,Electric Guitar,Diary of Jane,Breaking Benjamin,Rock
6/30/20,Acoustic Guitar,History Book,Dry the River,Folk
6/30/20,Acoustic Guitar,All the Pretty Girls,Kaleo,Folk
6/30/20,Piano,Waterfall Etude,Chopin,Classical
7/1/20,Electric Guitar,Saltwater Room,Owl City,Pop
7/2/20,Ukulele,Hey There Delilah,Plain White T's,Pop
7/3/20,Trumpet,Scales,N/A,Technique
7/3/20,Trombone,Scales,N/A,Technique
7/4/20,Ukulele,I'm Yours,Jason Mraz,Pop
7/5/20,Ukulele,I'm Yours,Jason Mraz,Pop
7/6/20,Trombone,Scales,N/A,Technique
7/7/20,Trumpet,Scales,N/A,Technique
7/8/20,Trumpet,Scales,N/A,Technique
7/9/20,Trumpet,Scales,N/A,Technique
7/10/20,Ukulele,Hey There Delilah,Plain White T's,Pop
7/10/20,Ukulele,Scales,N/A,Technique
7/11/20,Ukulele,I'm Yours,Jason Mraz,Pop
7/12/20,Ukulele,I'm Not Angry Anymore,Paramore,Rock
7/13/20,Piano,Waterfall Etude,Chopin,Classical
7/14/20,Piano,Waterfall Etude,Chopin,Classical
7/14/20,Piano,If It Wasn't for the Nights,ABBA,Pop
7/14/20,Acoustic Guitar,A Closeness,Dermot Kennedy,Folk
7/14/20,Acoustic Guitar,Black Flies,Ben Howard,Folk
7/14/20,Acoustic Guitar,Harmony Hall,Vampire Weekend,Indie
7/15/20,Piano,OG Stuff,Me,My Composition
7/15/20,Piano,Moonlight Sonata,Beethoven,Classical
7/15/20,Acoustic Guitar,Black Flies,Ben Howard,Folk
7/16/20,Electric Guitar,Supermassive Black Hole,Muse,Rock
7/16/20,Electric Guitar,Saltwater Room,Owl City,Pop
7/16/20,Piano,Moonlight Sonata,Beethoven,Classical
7/17/20,Piano,Moonlight Sonata,Beethoven,Classical
7/17/20,Piano,Waterfall Etude,Chopin,Classical
7/17/20,Piano,OG Stuff,Me,My Composition
7/18/20,Piano,OG Stuff,Me,My Composition
7/18/20,Piano,Enigma Variations,Elgar,Classical
7/19/20,Piano,Enigma Variations,Elgar,Classical
7/19/20,Electric Guitar,Hurts So Good,John Mellencamp,Rock
7/19/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
7/20/20,Piano,Enigma Variations,Elgar,Classical
7/21/20,Piano,Enigma Variations,Elgar,Classical
7/21/20,Piano,Sonata 18,Beethoven,Classical
7/21/20,Bass,Do I Wanna Know,Arctic Monkeys,Indie
7/22/20,Piano,Enigma Variations,Elgar,Classical
7/22/20,Piano,Sonata 18,Beethoven,Classical
7/23/20,Piano,Sonata 18,Beethoven,Classical
7/24/20,Piano,Sonata 18,Beethoven,Classical
7/24/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
7/24/20,Bass,Do I Wanna Know,Arctic Monkeys,Indie
7/25/20,Piano,Sonata 18,Beethoven,Classical
7/25/20,Acoustic Guitar,Hasta Manana,ABBA,Pop
7/25/20,Electric Guitar,Voulez-Vous,ABBA,Pop
7/25/20,Electric Guitar,Saltwater Room,Owl City,Pop
7/25/20,Piano,OG Stuff,Me,My Composition
7/26/20,Bass,Honey Honey,ABBA,Pop
7/26/20,Piano,Sonata 18,Beethoven,Classical
7/27/20,Piano,Sonata 18,Beethoven,Classical
7/28/20,Electric Guitar,Eye of the Tiger,Survivor,Rock
7/28/20,Piano,Waterfall Etude,Chopin,Classical
7/29/20,Bass,Honey Honey,ABBA,Pop
7/29/20,Bass,Whip It,DEVO,Rock
7/30/20,Piano,OG Stuff,Me,My Composition
7/31/20,Piano,Waterfall Etude,Chopin,Classical
7/31/20,Piano,Saturn,Sleeping at Last,Indie
8/1/20,Acoustic Guitar,Honey Honey,ABBA,Pop
8/1/20,Piano,Sonata 18,Beethoven,Classical
8/1/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
8/1/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
8/1/20,Electric Guitar,Talk Too Much,COIN,Indie
8/2/20,Piano,Sonata 18,Beethoven,Classical
8/2/20,Acoustic Guitar,OG Stuff,Me,My Composition
8/3/20,Piano,Sonata 18,Beethoven,Classical
8/3/20,Electric Guitar,For Whom The Bell Tolls,Metallica,Metal
8/3/20,Electric Guitar,Whip It,DEVO,Rock
8/4/20,Piano,Raindrop Prelude,Chopin,Classical
8/4/20,Piano,Tempest Sonata,Beethoven,Classical
8/4/20,Bass,A-punk,Vampire Weekend,Indie
8/5/20,Piano,Tempest Sonata,Beethoven,Classical
8/6/20,Piano,Tempest Sonata,Beethoven,Classical
8/6/20,Bass,A-punk,Vampire Weekend,Indie
8/6/20,Bass,Whip It,DEVO,Rock
8/6/20,Acoustic Guitar,Ghost in My Life,Wolf Gang,Indie
8/6/20,Piano,OG Stuff,Me,My Composition
8/7/20,Piano,Sonata 18,Beethoven,Classical
8/7/20,Acoustic Guitar,Chains of Love,Erasure,Pop
8/7/20,Piano,OG Stuff,Me,My Composition
8/8/20,Piano,Sonata 18,Beethoven,Classical
8/8/20,Acoustic Guitar,Chains of Love,Erasure,Pop
8/8/20,Acoustic Guitar,Wait for Me,Motopony,Folk
8/8/20,Acoustic Guitar,I Should Live in Salt,The National,Indie
8/8/20,Acoustic Guitar,The Scientist,Coldplay,Pop
8/9/20,Piano,Sonata 18,Beethoven,Classical
8/9/20,Piano,Waterfall Etude,Chopin,Classical
8/9/20,Piano,OG Stuff,Me,My Composition
8/10/20,Piano,Sonata 18,Beethoven,Classical
8/10/20,Piano,OG Stuff,Me,My Composition
8/11/20,Piano,Sonata 18,Beethoven,Classical
8/11/20,Bass,Do I Wanna Know,Arctic Monkeys,Indie
8/11/20,Piano,OG Stuff,Me,My Composition
8/12/20,Piano,Sonata 18,Beethoven,Classical
8/13/20,Piano,Sonata 18,Beethoven,Classical
8/13/20,Piano,Moonlight Sonata,Beethoven,Classical
8/14/20,Piano,Sonata 18,Beethoven,Classical
8/14/20,Piano,Moonlight Sonata,Beethoven,Classical
8/14/20,Piano,Tempest Sonata,Beethoven,Classical
8/14/20,Piano,OG Stuff,Me,My Composition
8/15/20,Piano,Sonata 18,Beethoven,Classical
8/15/20,Piano,Moonlight Sonata,Beethoven,Classical
8/15/20,Piano,Tempest Sonata,Beethoven,Classical
8/15/20,Piano,OG Stuff,Me,My Composition
8/16/20,Piano,Sonata 18,Beethoven,Classical
8/16/20,Bass,Do I Wanna Know,Arctic Monkeys,Indie
8/16/20,Bass,A-punk,Vampire Weekend,Indie
8/17/20,Piano,Sonata 18,Beethoven,Classical
8/18/20,Piano,Sonata 18,Beethoven,Classical
8/18/20,Electric Guitar,Kickstart My Heart,Motley Crue,Metal
8/19/20,Piano,Sonata 18,Beethoven,Classical
8/20/20,Piano,Sonata 18,Beethoven,Classical
8/21/20,Piano,Sonata 18,Beethoven,Classical
8/21/20,Piano,Moonlight Sonata,Beethoven,Classical
8/21/20,Electric Guitar,Dr. Feelgood,Motley Crue,Metal
8/21/20,Electric Guitar,Kickstart My Heart,Motley Crue,Metal
8/21/20,Electric Guitar,Whip It,DEVO,Rock
8/21/20,Acoustic Guitar,OG Stuff,Me,My Composition
8/22/20,Piano,Moonlight Sonata,Beethoven,Classical
8/22/20,Electric Guitar,Whip It,DEVO,Rock
8/23/20,Piano,Moonlight Sonata,Beethoven,Classical
8/23/20,Electric Guitar,Enter Sandman,Metallica,Metal
8/24/20,Electric Guitar,A-punk,Vampire Weekend,Indie
8/24/20,Electric Guitar,Enter Sandman,Metallica,Metal
8/24/20,Ukulele,OG Stuff,Me,My Composition
8/24/20,Piano,Sonata 18,Beethoven,Classical
8/24/20,Piano,Raindrop Prelude,Chopin,Classical
8/25/20,Electric Guitar,A-punk,Vampire Weekend,Indie
8/25/20,Electric Guitar,Pens and Needles,Hawthorne Heights,Rock
8/25/20,Piano,Raindrop Prelude,Chopin,Classical
8/26/20,Electric Guitar,Riot,Three Days Grace,Rock
8/26/20,Electric Guitar,OG Stuff,Me,My Composition
8/26/20,Piano,Waterfall Etude,Chopin,Classical
8/26/20,Ukulele,OG Stuff,Me,My Composition
8/27/20,Piano,OG Stuff,Me,My Composition
8/27/20,Electric Guitar,OG Stuff,Me,My Composition
8/27/20,Ukulele,OG Stuff,Me,My Composition
8/28/20,Piano,Waterfall Etude,Chopin,Classical
8/28/20,Bass,A-punk,Vampire Weekend,Indie
8/28/20,Bass,Miss Murder,AFI,Rock
8/29/20,Piano,Piano Sonata no. 3,Mozart,Classical
8/29/20,Electric Guitar,OG Stuff,Me,My Composition
8/29/20,Electric Guitar,Riot,Three Days Grace,Metal
8/30/20,Piano,Piano Sonata no. 3,Mozart,Classical
8/30/20,Electric Guitar,OG Stuff,Me,My Composition
8/31/20,Piano,Piano Sonata no. 3,Mozart,Classical
8/31/20,Bass,A-punk,Vampire Weekend,Indie
8/31/20,Bass,Dr. Feelgood,Motley Crue,Metal
9/1/20,Piano,Piano Sonata no. 3,Mozart,Classical
9/1/20,Acoustic Guitar,Greensleeves,N/A,Traditional
9/2/20,Piano,Piano Sonata no. 3,Mozart,Classical
9/3/20,Piano,Piano Sonata no. 3,Mozart,Classical
9/3/20,Piano,Phantasie no. 3,Mozart,Classical
9/3/20,Electric Guitar,Separate Ways (Worlds Apart),Journey,Rock
9/3/20,Electric Guitar,A-punk,Vampire Weekend,Indie
9/4/20,Piano,Phantasie no. 3,Mozart,Classical
9/4/20,Acoustic Guitar,Greensleeves,N/A,Traditional
9/5/20,Piano,Piano Sonata no. 3,Mozart,Classical
9/5/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
9/6/20,Piano,Phantasie no. 3,Mozart,Classical
9/6/20,Electric Guitar,Living on a Prayer,Bon Jovi,Rock
9/7/20,Piano,Sonata 18,Beethoven,Classical
9/7/20,Piano,Phantasie no. 3,Mozart,Classical
9/7/20,Electric Guitar,OG Stuff,Me,My Composition
9/8/20,Piano,Sonata 18,Beethoven,Classical
9/8/20,Piano,Phantasie no. 3,Mozart,Classical
9/8/20,Electric Guitar,OG Stuff,Me,My Composition
9/9/20,Piano,Sonata 18,Beethoven,Classical
9/9/20,Piano,Phantasie no. 3,Mozart,Classical
9/9/20,Electric Guitar,OG Stuff,Me,My Composition
9/10/20,Piano,OG Stuff,Me,My Composition
9/10/20,Electric Guitar,Animal I Have Become,Three Days Grace,Rock
9/10/20,Electric Guitar,The Drug In Me Is You,Falling In Reverse,Rock
9/11/20,Piano,Phantasie no. 3,Mozart,Classical
9/12/20,Piano,OG Stuff,Me,My Composition
9/13/20,Bass,The Less I Know the Better,Tame Impala,Indie
9/13/20,Bass,A-punk,Vampire Weekend,Indie
9/13/20,Piano,OG Stuff,Me,My Composition
9/14/20,Piano,Invention 4,Bach,Classical
9/14/20,Piano,OG Stuff,Me,My Composition
9/14/20,Bass,The Less I Know the Better,Tame Impala,Indie
9/14/20,Bass,Hysteria,Muse,Rock
9/15/20,Piano,OG Stuff,Me,My Composition
9/15/20,Electric Guitar,Knights of Cydonia,Muse,Rock
9/15/20,Electric Guitar,Should I Stay or Should I Go,The Clash,Rock
9/15/20,Electric Guitar,That's What You Get,Paramore,Rock
9/16/20,Bass,Super Freak,Rick James,Pop
9/16/20,Bass,Hysteria,Muse,Rock
9/16/20,Piano,Pavane Pour Une Infante Defunte,Ravel,Classical
9/17/20,Electric Guitar,Hysteria,Muse,Rock
9/17/20,Piano,OG Stuff,Me,My Composition
